level	taxid	name	read_count	total_bp_mapped	rel_abundance
genus	28453	Sphingobacterium	1267	858160	0.006038
genus	2782231	Kaistella	1258	425536	0.005678
genus	544	Citrobacter	1221	292332	0.022100
genus	34072	Variovorax	1217	163131	0.001571
genus	501783	Cloacibacterium	1214	174034	0.007957
genus	2747	Carnobacterium	1186	447676	0.010199
genus	33882	Microbacterium	1184	241674	0.004093
genus	1522056	Flaviflexus	1164	453536	0.006158
genus	579	Kluyvera	1151	315871	0.008959
genus	29404	Microlunatus	1134	444053	0.002613
genus	2801844	Arachnia	1125	400858	0.006280
genus	2321111	Aliarcobacter	1115	170263	0.004149
genus	33877	Agromyces	1106	240147	0.003793
genus	535	Chromobacterium	1091	221800	0.006608
genus	476528	Bibersteinia	1073	468881	0.006593
genus	Homoserinibacter	Homoserinibacter	1069	209914	0.005134
genus	2755	Brochothrix	1053	508998	0.006460
genus	68287	Mesorhizobium	1001	200904	0.005036
genus	1744881	Sulfuricaulis	988	451274	0.005213
genus	416	Methylomonas	980	403783	0.002844
genus	78526	Allorhizobium	978	259917	0.003028
genus	2795778	Caulifigura	972	603485	0.002333
genus	1716	Corynebacterium	951	338070	0.005040
genus	2944815	Wielerella	950	432553	0.080497
genus	68	Lysobacter	950	215736	0.004147
genus	662	Vibrio	943	625076	0.005087
genus	54066	Xylophilus	940	462894	0.004285
genus	414371	Aureimonas	915	242881	0.002965
genus	83654	Leclercia	899	209053	0.003203
genus	99	Ancylobacter	863	280794	0.002586
genus	1030	Thiothrix	831	333636	0.004504
genus	70411	Frateuria	788	315702	0.003211
genus	Algicoccus	Algicoccus	787	642693	0.003816
genus	1855416	Qipengyuania	769	308938	0.004228
genus	2321187	Poseidonibacter	753	134948	0.002747
genus	293088	Martelella	745	252608	0.002233
genus	2946607	Neotabrizicola	742	251975	0.002406
genus	2943286	Sideroxyarcus	738	291604	0.004025
genus	407	Methylobacterium	731	482316	0.009400
genus	59282	Blastochloris	718	215207	0.002850
genus	92793	Aquabacterium	718	262446	0.002607
genus	354349	Pseudochrobactrum	717	339798	0.002361
genus	1156568	Methylovirgula	710	181818	0.001840
genus	1775705	Frigidibacter	705	261562	0.002593
genus	2035811	Pseudodesulfovibrio	698	746797	0.004853
genus	447792	Phytobacter	695	191964	0.002087
genus	165697	Sphingopyxis	691	130345	0.001965
genus	2053	Gordonia	685	206436	0.001705
genus	186188	Xylanimonas	676	279667	0.004131
genus	83618	Pseudoxanthomonas	666	171636	0.003084
genus	1301	Streptococcus	665	303170	0.005062
genus	55968	Leucobacter	661	348020	0.004372
genus	1678	Bifidobacterium	648	131922	0.014315
genus	46913	Devosia	638	194003	0.001932
