TaxID	Name	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
402297	Nocardioides daphniae	10260	0.32419	0.324821	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides
1550733	Aquisediminimonas profunda	10063	0.317965	0.318584	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Aquisediminimonadaceae;Aquisediminimonas
35554	Geobacter sulfurreducens	9917	0.313352	0.313962	cellular organisms;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter
11	Cellulomonas gilvus	9781	0.309055	0.309656	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Cellulomonadaceae;Cellulomonas
1534	Clostridium kluyveri	9621	0.303999	0.304591	cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium
2591109	Casimicrobium huifangae	9556	0.301945	0.302533	cellular organisms;Pseudomonadota;Betaproteobacteria;;Casimicrobiaceae;Casimicrobium
240521	Rhizobium daejeonense	9292	0.293603	0.294175	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium
2949664	Paraconexibacter antarcticus	9266	0.292782	0.293352	cellular organisms;Actinomycetota;Thermoleophilia;Solirubrobacterales;Paraconexibacteraceae;Paraconexibacter
758802	Mycolicibacterium litorale	8909	0.281502	0.28205	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
332249	Truepera radiovictrix	8546	0.270032	0.270557	cellular organisms;Deinococcota;Deinococci;Trueperales;Trueperaceae;Truepera
173480	Gemmatimonas aurantiaca	8445	0.26684	0.26736	cellular organisms;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas
1682490	Ferrigenium kumadai	8442	0.266746	0.267265	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Ferrigenium
748811	Sulfuritalea hydrogenivorans	8349	0.263807	0.264321	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Sulfuritalea
2898793	Frateuria edaphi	8049	0.254328	0.254823	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Frateuria
1306519	Flavobacterium commune	7937	0.250789	0.251277	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
1082851	Comamonas serinivorans	7643	0.241499	0.241969	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
119484	Syntrophobacter fumaroxidans	7557	0.238782	0.239247	cellular organisms;Thermodesulfobacteriota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter
2213200	Nocardia mangyaensis	7437	0.23499	0.235448	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Nocardia
2259340	Paracoccus suum	7393	0.2336	0.234055	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
2895947	Flavobacterium cyclinae	7370	0.232873	0.233326	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
2116657	Pulveribacter suum	7310	0.230977	0.231427	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pulveribacter
2829499	Tessaracoccus palaemonis	7290	0.230345	0.230794	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Tessaracoccus
2779518	Blautia liquoris	7215	0.227976	0.228419	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia
2732067	Usitatibacter rugosus	6968	0.220171	0.2206	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Usitatibacteraceae;Usitatibacter
55518	Magnetospirillum gryphiswaldense	6937	0.219191	0.219618	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum
262324	Lysobacter gummosus	6734	0.212777	0.213191	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Lysobacter
UNKNOWN	UNKNOWN	6149	0.194293	-	UNKNOWN
1482074	Hartmannibacter diazotrophicus	6125	0.193534	0.193911	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Pleomorphomonadaceae;Hartmannibacter
1859	Frankia alni	6095	0.192586	0.192961	cellular organisms;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia
