Species	n_taxids	representative_taxid	all_taxids	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
Flavobacterium cyclinae	1	2895947	2895947	7370	0.232873	0.233326	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Pulveribacter suum	1	2116657	2116657	7310	0.230977	0.231427	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pulveribacter
Tessaracoccus palaemonis	1	2829499	2829499	7290	0.230345	0.230794	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Tessaracoccus
Blautia liquoris	1	2779518	2779518	7215	0.227976	0.228419	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia
Usitatibacter rugosus	1	2732067	2732067	6968	0.220171	0.220600	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Usitatibacteraceae;Usitatibacter
Magnetospirillum gryphiswaldense	1	55518	55518	6937	0.219191	0.219618	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum
Lysobacter gummosus	1	262324	262324	6734	0.212777	0.213191	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Lysobacter
UNKNOWN	1	UNKNOWN	UNKNOWN	6149	0.194293	0.000000	UNKNOWN
Hartmannibacter diazotrophicus	1	1482074	1482074	6125	0.193534	0.193911	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Pleomorphomonadaceae;Hartmannibacter
Frankia alni	1	1859	1859	6095	0.192586	0.192961	cellular organisms;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia
Barnesiella viscericola	1	397865	397865	6081	0.192144	0.192518	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella
Sphingobacterium lactis	1	797291	797291	6002	0.189648	0.190017	cellular organisms;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
Protaetiibacter intestinalis	1	2419774	2419774	5927	0.187278	0.187643	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Protaetiibacter
Caulobacter henricii	1	69395	69395	5845	0.184687	0.185047	cellular organisms;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter
Paracoccus contaminans	1	1945662	1945662	5811	0.183613	0.183970	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
