Sample_Taxid	clade_fragments_covered	abundance	rank	name
Illumina_CDC_678932	1.0	0.0	S	Auritidibacter ignavus
Illumina_CDC_76832	2.0	0.0	S	Myroides odoratimimus
Illumina_CDC_93218	2.0	0.0	S	Pandoraea apista
Illumina_CDC_93220	41.0	0.0	S	Pandoraea pnomenusa
Illumina_CDC_93221	1.0	0.0	S	Pandoraea pulmonicola
Illumina_CDC_93222	1.0	0.0	S	Pandoraea sputorum
Illumina_CDC_2094119	1.0	0.0	S	Mycobacterium basiliense
Illumina_CDC_82987	6.0	0.0	S	Tatumella ptyseos
Illumina_CDC_119857	1.0	0.0	S1	Francisella tularensis subsp. holarctica
Illumina_CDC_82996	5.0	0.0	S	Serratia plymuthica
Illumina_CDC_13373	6.0	0.0	S	Burkholderia mallei
Illumina_CDC_283734	17.0	0.0	S	Staphylococcus pseudintermedius
Illumina_CDC_33889	12.0	0.0	S	Brevibacterium casei
Illumina_CDC_158822	25.0	0.0	S	Cedecea neteri
Illumina_CDC_158823	3.0	0.0	S	Cedecea lapagei
Illumina_CDC_328813	3.0	0.0	S	Alistipes onderdonkii
Illumina_CDC_158836	127.0	0.0	S	Enterobacter hormaechei
Illumina_CDC_158849	1.0	0.0	S	Moellerella wisconsensis
Illumina_CDC_60550	12.0	0.0	S	Burkholderia pyrrocinia
Illumina_CDC_60552	16.0	0.0	S	Burkholderia vietnamiensis
Illumina_CDC_863372	3.0	0.0	S	Herbaspirillum huttiense
Illumina_CDC_1389713	2.0	0.0	S	Mycobacterium paragordonae
Illumina_CDC_564369	13.0	0.0	S	Luteibacter anthropi
Illumina_CDC_33945	2.0	0.0	S	Enterococcus avium
Illumina_CDC_441500	2.0	0.0	S	Corynebacterium timonense
Illumina_CDC_441501	4.0	0.0	S	Corynebacterium massiliense
Illumina_CDC_158877	6.0	0.0	S	Yokenella regensburgei
Illumina_CDC_521392	3.0	0.0	S	Helcobacillus massiliensis
Illumina_CDC_93378	1.0	0.0	S	Edwardsiella hoshinae
Illumina_CDC_101571	29.0	0.0	S	Burkholderia ubonensis
Illumina_CDC_33987	1.0	0.0	S	Exiguobacterium aurantiacum
Illumina_CDC_421058	2.0	0.0	S	Chryseobacterium oranimense
Illumina_CDC_1871047	3.0	0.0	S	Chryseobacterium sp.
Illumina_CDC_236753	1.0	0.0	S	Fastidiosipila sanguinis
Illumina_CDC_31958	2.0	0.0	S	Amycolatopsis orientalis
Illumina_CDC_2219225	25.0	0.0	S	Pseudomonas asiatica
Illumina_CDC_1245	1.0	0.0	S	Leuconostoc mesenteroides
Illumina_CDC_1270	13.0	0.0	S	Micrococcus luteus
Illumina_CDC_1275	2.0	0.0	S	Kocuria rosea
Illumina_CDC_1276	15.0	0.0	S	Kytococcus sedentarius
Illumina_CDC_888061	1.0	0.0	S1	Desulfomicrobium orale DSM 12838
Illumina_CDC_95485	6.0	0.0	S	Burkholderia stabilis
Illumina_CDC_1283	1.0	0.0	S	Staphylococcus haemolyticus
Illumina_CDC_941322	3.0	0.0	S1	Escherichia coli O25b:H4-ST131
Illumina_CDC_34062	1.0	0.0	S	Moraxella osloensis
Illumina_CDC_1697043	7.0	0.0	S	Bordetella sp. H567
Illumina_CDC_40214	30.0	0.0	S	Acinetobacter johnsonii
Illumina_CDC_40215	10.0	0.0	S	Acinetobacter junii
Illumina_CDC_40216	10.0	0.0	S	Acinetobacter radioresistens
Illumina_CDC_1304	2.0	0.0	S	Streptococcus salivarius
Illumina_CDC_488729	1.0	0.0	S	Burkholderia metallica
Illumina_CDC_488730	7.0	0.0	S	Burkholderia arboris
Illumina_CDC_488731	6.0	0.0	S	Burkholderia seminalis
Illumina_CDC_488732	4.0	0.0	S	Burkholderia diffusa
Illumina_CDC_1307	29.0	0.0	S	Streptococcus suis
Illumina_CDC_1311	3.0	0.0	S	Streptococcus agalactiae
Illumina_CDC_1313	6.0	0.0	S	Streptococcus pneumoniae
Illumina_CDC_1314	9.0	0.0	S	Streptococcus pyogenes
Illumina_CDC_486698	4.0	0.0	S	Mycobacterium riyadhense
Illumina_CDC_1326	1.0	0.0	S	Streptococcus acidominimus
Illumina_CDC_1328	3.0	0.0	S	Streptococcus anginosus
Illumina_CDC_1329	2.0	0.0	S	Streptococcus canis
Illumina_CDC_156976	1.0	0.0	S	Corynebacterium riegelii
Illumina_CDC_156980	2.0	0.0	S	Arthrobacter woluwensis
Illumina_CDC_83262	2.0	0.0	S	Mycobacteroides immunogenum
Illumina_CDC_1346	1.0	0.0	S	Streptococcus iniae
Illumina_CDC_339268	2.0	0.0	S	Mycobacterium colombiense
Illumina_CDC_1351	36.0	0.0	S	Enterococcus faecalis
Illumina_CDC_1363	13.0	0.0	S	Lactococcus garvieae
Illumina_CDC_208223	11.0	0.0	S	Kosakonia cowanii
Illumina_CDC_208224	42.0	0.0	S	Enterobacter kobei
Illumina_CDC_1377	1.0	0.0	S	Aerococcus viridans
Illumina_CDC_1389922	131.0	0.0	S	Achromobacter mucicolens
Illumina_CDC_1004901	10.0	0.0	S	Gordonia iterans
Illumina_CDC_398694	5.0	0.0	S	Mycobacterium shinjukuense
Illumina_CDC_1392	6.0	0.0	S	Bacillus anthracis
Illumina_CDC_56689	2.0	0.0	S	Mycolicibacterium mucogenicum
Illumina_CDC_1396	5.0	0.0	S	Bacillus cereus
Illumina_CDC_13689	5.0	0.0	S	Sphingomonas paucimobilis
Illumina_CDC_1405	15.0	0.0	S	Bacillus mycoides
Illumina_CDC_1406	1.0	0.0	S	Paenibacillus polymyxa
Illumina_CDC_218496	1.0	0.0	S1	Tropheryma whipplei TW08/27
Illumina_CDC_40324	48.0	0.0	S	Stenotrophomonas maltophilia
Illumina_CDC_83334	8.0	0.0	S1	Escherichia coli O157:H7
Illumina_CDC_134537	2.0	0.0	S	Paraburkholderia fungorum
Illumina_CDC_146827	3.0	0.0	S	Corynebacterium simulans
Illumina_CDC_38289	2.0	0.0	S	Corynebacterium jeikeium
Illumina_CDC_38290	2.0	0.0	S	Corynebacterium macginleyi
Illumina_CDC_1428	13.0	0.0	S	Bacillus thuringiensis
Illumina_CDC_38293	13.0	0.0	S	Photobacterium damselae
Illumina_CDC_38313	3.0	0.0	S	Shewanella algae
Illumina_CDC_560555	1.0	0.0	S	Mycobacterium mantenii
Illumina_CDC_103855	19.0	0.0	S	Bordetella hinzii
Illumina_CDC_28082	1.0	0.0	S	Legionella anisa
Illumina_CDC_28087	1.0	0.0	S	Legionella sainthelensi
Illumina_CDC_196024	8.0	0.0	S	Aeromonas dhakensis
Illumina_CDC_28090	8.0	0.0	S	Acinetobacter lwoffii
Illumina_CDC_28095	142.0	0.0	S	Burkholderia gladioli
Illumina_CDC_558537	3.0	0.0	S	Delftia lacustris
Illumina_CDC_134601	24.0	0.0	S	Mycolicibacterium goodii
Illumina_CDC_1117645	45.0	0.0	S	Elizabethkingia anophelis
Illumina_CDC_28110	2.0	0.0	S	Francisella philomiragia
Illumina_CDC_54736	11.0	0.0	S	Salmonella bongori
Illumina_CDC_28113	1.0	0.0	S	Bacteroides heparinolyticus
Illumina_CDC_28112	2.0	0.0	S	Tannerella forsythia
Illumina_CDC_1496	112.0	0.0	S	Clostridioides difficile
Illumina_CDC_1502	11.0	0.0	S	Clostridium perfringens
Illumina_CDC_607712	5.0	0.0	S	Neisseria shayeganii
Illumina_CDC_28131	1.0	0.0	S	Prevotella intermedia
Illumina_CDC_271848	2.0	0.0	S1	Burkholderia thailandensis E264
Illumina_CDC_28141	12.0	0.0	S	Cronobacter sakazakii
Illumina_CDC_87541	2.0	0.0	S	Aerococcus christensenii
Illumina_CDC_28151	4.0	0.0	S	Serratia proteamaculans
Illumina_CDC_67081	6.0	0.0	S	Mycolicibacterium alvei
Illumina_CDC_28172	1.0	0.0	S	Vibrio metschnikovii
Illumina_CDC_216592	1.0	0.0	S2	Escherichia coli 042
Illumina_CDC_1549855	2.0	0.0	S	Haematospirillum jordaniae
Illumina_CDC_65058	1.0	0.0	S	Corynebacterium ulcerans
Illumina_CDC_28197	154.0	0.0	S	Aliarcobacter butzleri
Illumina_CDC_2749991	4.0	0.0	S	Nocardia gipuzkoensis
Illumina_CDC_28200	28.0	0.0	S	Aliarcobacter skirrowii
Illumina_CDC_1583	1.0	0.0	S	Weissella confusa
Illumina_CDC_400946	1.0	0.0	S	Wohlfahrtiimonas chitiniclastica
Illumina_CDC_1287736	14.0	0.0	S	Achromobacter aegrifaciens
Illumina_CDC_222805	7.0	0.0	S1	Mycobacterium intracellulare subsp. chimaera
Illumina_CDC_61015	1.0	0.0	S	Staphylococcus succinus
